Jogador,Equipe,perfil,k3_upfront,k2_passo3,score_con,score_def,gap_con_def
Pedro Henrique,Red Bull Bragantino,Construtor,Híbrido,Construtor,0.5815223497734284,0.5011688613253775,0.0803534884480509
R. Arboleda,São Paulo,Posicional,Híbrido,Posicional,0.2981007279459692,0.4856722675928533,0.1875715396468841
Rafael Tolói,São Paulo,Construtor,Construtor,Construtor,0.4812659823227615,0.3745089984889003,0.1067569838338611
Robert Renan,Vasco da Gama,Construtor,Construtor,Construtor,0.7160089445306697,0.3014647526541879,0.4145441918764818
Ruan Tressoldi,Atlético Mineiro,Posicional,Híbrido,Posicional,0.3284241869722174,0.5002400161673308,0.1718158291951134
S. Ramos Mingo,Bahia,Construtor,Construtor,Construtor,0.5120843908706103,0.2937149736257474,0.2183694172448628
Sabino,São Paulo,Híbrido,Híbrido,Construtor,0.5598232510456198,0.5119300410041342,0.0478932100414856
Tiago Cóser,Coritiba,Híbrido,Defensivo,Posicional,0.1395449125734242,0.516880345047355,0.3773354324739308
Victor Caetano,Chapecoense,Combativo,Híbrido,Híbrido,0.383598648663823,0.4362862473935707,0.0526875987297477
Victor Gabriel,Internacional,Híbrido,Híbrido,Construtor,0.6080414051173567,0.6331056920438711,0.0250642869265144
Viery,Fiorentina,Construtor,Híbrido,Construtor,0.7990675883473708,0.4998978013888566,0.2991697869585142
Vitor Hugo,Atlético Mineiro,Posicional,Defensivo,Posicional,0.1157193740473791,0.3388260146282348,0.2231066405808557
Vitão,Flamengo,Híbrido,Construtor,Construtor,0.4150103856614602,0.2592715008209532,0.155738884840507
Wagner Leonardo,Grêmio,Combativo,Defensivo,Combativo,0.3238089699904515,0.2602060628902585,0.0636029071001929
Willian Machado,Mirassol,Híbrido,Híbrido,Construtor,0.5111042564519523,0.477129814115689,0.0339744423362632
Zé Ivaldo,Remo,Posicional,Defensivo,Híbrido,0.3709996077893021,0.387461049130853,0.0164614413415509
