player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8,nota_global,nota_perfil
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,28.690,81.690,78.060,66.100,17.890,54.490,0.600,1311,0.717,53.240,20,Híbrido,72.080,42.757,Híbrido,58.885,0.000,58.885,56.374,27,6.716,7.243
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,59.860,65.490,59.150,59.150,30.280,54.790,0.670,1445,0.771,53.680,17,Construtor,59.150,51.877,Construtor,58.059,0.000,58.059,56.212,28,6.703,6.161
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,64.080,59.860,29.100,59.290,48.870,52.240,0.870,1875,0.913,52.040,24,Posicional,44.195,57.603,Defensivo,56.103,0.000,56.103,55.575,29,6.650,6.609
sabino-s-o-paulo-97,Sabino,São Paulo,75.490,60.560,62.680,39.620,46.900,57.050,0.670,1452,0.771,55.430,12,Híbrido,51.150,60.983,Híbrido,56.558,0.000,56.558,55.055,30,6.607,7.119
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,33.100,50.000,67.600,58.210,64.080,54.600,0.640,1380,0.748,53.430,19,Híbrido,62.905,49.060,Híbrido,56.675,0.000,56.675,54.994,31,6.602,7.113
luan-peres-santos-118,Luan Peres,Santos,46.300,60.500,44.770,32.030,64.080,49.540,0.640,1377,0.748,49.660,39,Posicional,38.400,56.960,Defensivo,55.460,0.103,55.563,54.162,32,6.534,6.418
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,45.770,66.200,40.070,38.920,55.070,49.210,0.740,1611,0.822,49.350,42,Posicional,39.495,55.680,Defensivo,54.180,0.440,54.620,53.799,33,6.503,6.368
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,47.130,64.310,51.860,27.550,66.620,51.490,0.290,621,0.447,50.660,34,Posicional,39.705,59.353,Defensivo,57.853,0.000,57.853,53.512,34,6.480,6.330
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,57.970,66.960,51.220,68.420,30.280,54.970,0.250,537,0.406,52.010,25,Construtor,59.820,51.737,Construtor,58.608,0.000,58.608,53.496,35,6.478,5.958
kayky-almeida-remo-341,Kayky Almeida,Remo,63.410,63.070,42.940,62.470,52.540,56.890,0.260,565,0.417,52.870,21,Híbrido,52.705,59.673,Híbrido,56.538,0.983,57.521,53.133,36,6.448,6.927
jemmes-fluminense-103,Jemmes,Fluminense,79.430,35.210,17.430,19.000,51.410,40.500,0.660,1436,0.763,42.730,64,Posicional,18.215,55.350,Defensivo,53.850,0.000,53.850,52.939,37,6.432,6.253
camutanga-vit-ria-301,Camutanga,Vitória,48.670,50.700,24.490,32.490,73.100,45.890,0.320,696,0.477,48.040,47,Posicional,28.490,57.490,Defensivo,55.990,0.000,55.990,52.856,38,6.425,6.242
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.180,24.510,27.380,24.860,78.450,44.270,0.360,774,0.515,47.070,51,Posicional,26.120,56.380,Defensivo,54.880,0.000,54.880,52.512,39,6.397,6.196
jonathan-cruzeiro-145,Jonathan,Cruzeiro,60.670,31.770,38.390,49.990,72.250,50.610,0.610,1312,0.725,50.440,35,Posicional,44.190,54.897,Defensivo,53.397,0.000,53.397,52.463,40,6.393,6.189
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,56.140,28.300,40.010,73.860,48.590,49.380,0.280,598,0.437,49.730,37,Construtor,56.935,44.343,Construtor,55.435,0.000,55.435,52.376,41,6.386,5.878
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.900,87.890,84.020,26.380,41.550,54.550,0.300,647,0.457,52.070,23,Construtor,55.200,54.113,Construtor,55.037,0.000,55.037,52.303,42,6.380,5.873
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.460,57.470,64.200,50.560,13.660,41.870,0.230,488,0.385,46.920,52,Construtor,57.380,31.530,Construtor,55.880,0.000,55.880,52.262,43,6.376,5.870
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,28.170,54.930,60.560,59.860,46.900,50.080,0.750,1620,0.829,50.070,36,Híbrido,60.210,43.333,Híbrido,52.616,0.002,52.617,52.171,44,6.369,6.826
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,50.340,72.020,52.480,48.090,39.860,52.560,0.500,1078,0.637,51.620,30,Híbrido,50.285,54.073,Híbrido,52.369,0.343,52.711,51.728,45,6.332,6.780
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.620,50.130,73.590,33.350,12.820,42.500,0.480,1048,0.621,45.320,56,Construtor,53.470,35.190,Construtor,51.970,0.000,51.970,51.223,46,6.291,5.798
d-tchamba-remo-109,D. Tchamba,Remo,31.540,35.210,40.850,46.800,91.690,49.220,0.650,1416,0.756,49.410,41,Posicional,43.825,52.813,Defensivo,51.465,0.000,51.465,51.107,47,6.282,6.014
murilo-palmeiras-24,Murilo,Palmeiras,20.110,58.450,74.650,52.510,29.150,46.970,0.880,1900,0.920,47.220,50,Híbrido,63.580,35.903,Híbrido,51.126,0.000,51.126,51.036,48,6.276,6.706
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.540,59.440,23.060,37.460,36.200,42.940,0.230,489,0.385,47.320,49,Combativo,30.260,51.393,Defensivo,49.893,0.000,49.893,49.959,49,6.189,7.226
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,26.450,83.630,55.220,73.070,23.800,52.440,0.270,589,0.427,51.040,33,Posicional,64.145,44.627,Defensivo,47.554,0.000,47.554,48.956,50,6.109,5.754
marllon-remo-5,Marllon,Remo,66.900,24.650,43.100,21.410,58.730,42.960,0.990,2138,0.993,43.020,63,Combativo,32.255,50.093,Defensivo,48.593,0.000,48.593,48.602,51,6.081,7.087
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.220,71.830,49.270,33.720,36.760,46.160,0.810,1754,0.872,46.650,53,Posicional,41.495,49.270,Defensivo,48.104,0.000,48.104,48.346,52,6.061,5.685
