player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,26.45,83.63,55.22,73.07,23.80,52.44,0.27,589,0.43,51.04,33,Posicional,64.14,44.63,Defensivo,47.55,0.00,47.55,48.96,50
marllon-remo-5,Marllon,Remo,66.90,24.65,43.10,21.41,58.73,42.96,0.99,2138,0.99,43.02,63,Combativo,32.26,50.09,Defensivo,48.59,0.00,48.59,48.60,51
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.22,71.83,49.27,33.72,36.76,46.16,0.81,1754,0.87,46.65,53,Posicional,41.50,49.27,Defensivo,48.10,0.00,48.10,48.35,52
victor-gabriel-internacional-124,Victor Gabriel,Internacional,64.17,49.30,54.23,22.25,52.54,48.50,0.63,1364,0.74,48.89,43,Híbrido,38.24,55.34,Híbrido,47.64,0.00,47.64,48.25,53
maicon-coritiba-181,Maicon,Coritiba,27.86,39.40,27.04,72.64,70.00,47.39,0.53,1146,0.66,48.27,46,Posicional,49.84,45.75,Defensivo,46.37,0.00,46.37,47.59,54
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.28,36.68,49.76,46.90,37.89,41.10,0.33,711,0.49,45.69,54,Híbrido,48.33,36.28,Híbrido,42.91,1.48,44.39,47.27,55
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,41.86,58.19,35.77,76.99,25.49,47.66,0.33,719,0.49,48.86,44,Combativo,56.38,41.85,Defensivo,44.03,0.00,44.03,47.09,56
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,57.38,64.79,35.40,45.25,20.14,44.59,0.86,1863,0.91,45.10,57,Posicional,40.33,47.44,Defensivo,46.37,0.00,46.37,46.71,57
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,56.34,28.06,53.52,47.36,31.97,43.45,0.67,1456,0.77,44.94,58,Híbrido,50.44,38.79,Híbrido,45.20,0.15,45.34,46.41,58
newton-s-o-paulo-370,Newton,São Paulo,54.18,20.14,24.82,23.88,41.27,32.86,0.22,472,0.37,43.63,61,Combativo,24.35,38.53,Defensivo,37.03,0.00,37.03,45.15,59
