player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m2_raw,m3_raw,m6_raw,m8_raw,m0_final,m2_final,m3_final,m6_final,m8_final,rank_m0,rank_m2,rank_m3,rank_m6,rank_m8
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,40.16,27.33,58.36,54.39,13.94,38.84,0.36,785,0.52,44.23,59,Combativo,56.38,27.14,Defensivo,31.53,26.10,43.99,31.53,44.23,40.49,37.70,46.91,40.49,59,67,56,54,67
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,20.14,30.79,44.36,35.31,43.52,34.83,0.25,551,0.41,43.77,60,Híbrido,39.84,31.48,Híbrido,36.08,26.70,33.74,36.84,43.77,44.35,40.54,43.40,44.66,60,63,52,62,62
newton-s-o-paulo-370,Newton,São Paulo,54.18,20.14,24.82,23.88,41.27,32.86,0.22,472,0.37,43.63,61,Combativo,24.35,38.53,Defensivo,37.03,25.33,34.74,37.03,43.63,45.15,40.78,44.30,45.15,61,59,50,61,59
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,19.79,33.10,78.87,47.18,37.32,43.25,0.93,2019,0.96,43.56,62,Construtor,63.03,30.07,Construtor,61.23,32.41,45.53,61.23,43.56,60.72,33.22,45.74,60.72,62,15,67,57,15
marllon-remo-5,Marllon,Remo,66.90,24.65,43.10,21.41,58.73,42.96,0.99,2138,0.99,43.02,63,Combativo,32.26,50.09,Defensivo,48.59,33.10,40.65,48.59,43.02,48.60,33.21,40.71,48.60,63,51,68,65,51
jemmes-fluminense-103,Jemmes,Fluminense,79.43,35.21,17.43,19.00,51.41,40.50,0.66,1436,0.77,42.73,64,Posicional,18.21,55.35,Defensivo,53.85,29.18,40.48,53.85,42.73,52.94,34.11,42.73,52.94,64,36,64,64,37
vit-o-flamengo-322,Vitão,Flamengo,20.42,49.02,47.46,32.96,14.79,32.93,0.30,641,0.45,42.27,65,Híbrido,40.21,28.08,Híbrido,34.75,22.44,38.46,34.75,42.27,43.03,37.40,44.72,43.03,65,65,57,60,65
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,27.27,21.13,48.59,34.08,66.34,39.48,0.78,1700,0.85,41.02,66,Híbrido,41.34,38.25,Híbrido,39.95,30.51,34.22,39.95,41.02,41.44,33.42,36.57,41.44,66,66,65,69,66
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,23.00,49.30,26.95,23.48,60.70,36.69,0.61,1325,0.73,40.33,67,Posicional,25.21,44.33,Defensivo,42.83,29.58,35.85,42.83,40.33,44.80,35.19,39.74,44.80,67,61,62,66,61
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,20.20,43.66,36.81,33.52,51.41,37.12,0.67,1451,0.77,40.08,68,Híbrido,35.17,38.42,Híbrido,36.96,28.34,34.56,37.34,40.08,39.95,33.31,38.10,40.24,68,68,66,67,68
cac-vit-ria-84,Cacá,Vitória,33.94,31.69,19.14,35.21,55.63,35.12,0.71,1548,0.80,38.05,69,Híbrido,27.18,40.42,Híbrido,34.46,26.36,30.92,34.52,38.05,37.56,31.08,34.73,37.61,69,70,70,71,70
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,51.34,19.08,23.49,30.38,30.00,30.86,0.52,1125,0.65,37.50,70,Combativo,26.93,33.47,Defensivo,32.49,23.34,30.36,32.72,37.50,38.55,32.57,37.16,38.71,70,69,69,68,69
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,23.37,17.61,41.88,41.59,15.35,27.96,0.56,1209,0.68,34.92,71,Combativo,41.73,18.78,Defensivo,22.22,19.26,30.34,22.33,34.92,30.94,28.92,36.52,31.02,71,71,71,70,71
