rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
40,gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,1754,2.870,64.290,1.845,55.933,65.102,-0.812,-0.812,0.699,57.878,17.606,45.796
41,l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,1456,6.680,57.410,3.835,108.068,66.699,-9.289,-5.000,1.000,21.127,96.479,43.732
42,alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,1445,6.100,59.180,3.610,97.939,66.681,-7.501,-5.000,1.000,21.127,95.070,43.310
43,bruno-gomes-internacional-16,Bruno Gomes,Internacional,1999,5.630,61.600,3.468,125.049,66.608,-5.008,-5.000,1.000,21.127,92.254,42.465
44,andr-ramalho-corinthians-318,André Ramalho,Corinthians,647,2.500,66.670,1.667,17.972,64.761,1.909,1.909,0.225,56.645,9.155,42.398
45,victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,719,5.760,47.830,2.755,46.016,66.633,-18.803,-5.000,0.575,33.392,61.268,41.755
46,a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,1078,5.180,56.450,2.924,62.045,66.487,-10.037,-5.000,0.776,27.607,72.535,41.085
47,jacy-coritiba-70,Jacy,Coritiba,1613,5.190,61.290,3.181,93.016,66.491,-5.201,-5.000,1.000,21.127,82.394,39.507
48,wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,785,4.930,53.490,2.637,43.001,66.399,-12.909,-5.000,0.538,34.480,50.000,39.136
49,cac-vit-ria-84,Cacá,Vitória,1548,3.260,60.710,1.979,56.072,65.426,-4.716,-4.716,0.701,46.051,21.831,38.785
50,l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,869,4.350,57.140,2.486,42.002,66.138,-8.998,-5.000,0.525,34.841,42.958,37.276
51,c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,1048,4.640,57.410,2.664,54.030,66.279,-8.869,-5.000,0.675,30.500,51.408,36.772
52,lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,711,4.180,51.520,2.154,33.022,66.045,-14.525,-5.000,0.413,38.082,33.099,36.587
53,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,2.740,60.610,1.661,65.973,64.986,-4.376,-4.376,0.825,46.516,7.746,34.885
54,maicon-coritiba-181,Maicon,Coritiba,1146,2.750,60.000,1.650,35.017,64.995,-4.995,-4.995,0.438,46.918,6.338,34.744
55,j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,1611,4.800,58.140,2.791,85.920,66.348,-8.208,-5.000,1.000,21.127,64.085,34.014
56,jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,589,3.820,48.000,1.834,25.000,65.827,-17.827,-5.000,0.312,40.977,14.789,33.121
57,n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,1380,5.220,52.500,2.740,80.040,66.500,-14.000,-5.000,1.000,21.127,59.859,32.746
58,jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,488,3.140,47.060,1.478,17.026,65.330,-18.270,-5.000,0.213,43.855,3.521,31.755
59,lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,551,3.430,42.860,1.470,20.999,65.556,-22.696,-5.000,0.262,42.421,2.113,30.329
60,vit-o-flamengo-322,Vitão,Flamengo,641,2.810,40.000,1.124,20.013,65.049,-25.049,-5.000,0.250,42.777,0.704,30.155
61,alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,1620,5.000,52.220,2.611,90.000,66.426,-14.206,-5.000,1.000,21.127,48.592,29.366
62,gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,1311,4.120,51.670,2.129,60.015,66.011,-14.341,-5.000,0.750,28.340,31.690,29.345
63,a-franco-tigres-uanl-168,A. Franco,Tigres UANL,1209,4.840,46.150,2.234,65.017,66.364,-20.214,-5.000,0.813,26.534,34.507,28.926
64,d-tchamba-remo-109,D. Tchamba,Remo,1416,3.310,57.690,1.910,52.077,65.465,-7.775,-5.000,0.651,31.204,20.423,27.970
65,lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,1325,3.530,51.920,1.833,51.969,65.629,-13.709,-5.000,0.650,31.243,13.380,25.884
66,l-o-pereira-flamengo-48,Léo Pereira,Flamengo,1722,3.400,60.000,2.040,65.053,65.534,-5.534,-5.000,0.813,26.521,23.239,25.537
67,tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,1451,4.160,49.250,2.049,67.068,66.034,-16.784,-5.000,0.838,25.794,24.648,25.450
68,bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,1478,3.350,54.550,1.827,55.014,65.496,-10.946,-5.000,0.688,30.144,11.972,24.693
69,gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,1700,3.020,59.650,1.801,57.044,65.231,-5.581,-5.000,0.713,29.412,10.563,23.757
70,murilo-palmeiras-24,Murilo,Palmeiras,1900,3.690,51.280,1.892,77.900,65.741,-14.461,-5.000,0.974,21.885,19.014,21.024
71,s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,2019,2.990,53.730,1.607,67.076,65.206,-11.476,-5.000,0.838,25.791,4.930,19.533
