rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
35,murilo-palmeiras-24,Murilo,Palmeiras,1900,4.260,62.220,2.651,89.933,60.389,1.831,1.831,1.000,38.732,75.352,49.718
36,sabino-s-o-paulo-97,Sabino,São Paulo,1452,4.520,61.640,2.786,72.923,60.952,0.688,0.688,1.000,34.507,85.211,49.718
37,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,4.360,61.820,2.695,54.984,60.615,1.205,1.205,1.000,35.915,80.986,49.437
38,g-g-mez-palmeiras-27,G. Gómez,Palmeiras,1875,4.610,61.460,2.833,96.042,61.128,0.332,0.332,1.000,33.099,86.620,49.155
39,n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,1380,3.520,61.110,2.151,53.973,58.354,2.756,2.756,1.000,42.958,57.042,47.183
40,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,1.600,100.000,1.600,12.018,50.083,49.917,5.000,0.240,55.924,23.239,46.119
41,l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,1456,1.300,57.140,0.743,21.031,48.400,8.740,5.000,0.421,60.367,4.930,43.736
42,j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,1013,4.440,60.000,2.664,49.975,60.787,-0.787,-0.787,0.999,27.476,76.761,42.262
43,lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,1325,4.080,60.000,2.448,60.067,59.953,0.047,0.047,1.000,30.282,68.310,41.690
44,lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,551,1.310,75.000,0.983,8.020,48.458,26.542,5.000,0.160,53.954,7.746,40.091
45,bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,598,1.350,55.560,0.750,8.970,48.688,6.872,5.000,0.179,54.422,6.338,39.997
46,j-freytes-fluminense-39,J. Freytes,Fluminense,1776,2.740,59.260,1.624,54.069,55.515,3.745,3.745,1.000,45.775,24.648,39.437
47,jacy-coritiba-70,Jacy,Coritiba,1613,4.520,59.260,2.679,81.008,60.952,-1.692,-1.692,1.000,21.831,79.577,39.155
48,l-o-pereira-flamengo-48,Léo Pereira,Flamengo,1722,2.400,58.700,1.409,45.920,54.054,4.646,4.646,0.918,48.706,16.197,38.954
49,jonathan-cruzeiro-145,Jonathan,Cruzeiro,1312,2.470,58.330,1.441,36.007,54.366,3.964,3.964,0.720,47.971,17.606,38.862
50,s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,2019,2.900,58.460,1.695,65.057,56.156,2.304,2.304,1.000,40.141,28.873,36.761
51,wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,785,2.290,55.000,1.260,19.974,53.553,1.447,1.447,0.399,44.936,11.972,35.047
52,lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,711,3.670,55.170,2.025,28.993,58.819,-3.649,-3.649,0.580,31.216,42.958,34.738
53,marllon-remo-5,Marllon,Remo,2138,2.190,55.770,1.221,52.025,53.084,2.686,2.686,1.000,41.549,10.563,32.254
54,victor-gabriel-internacional-124,Victor Gabriel,Internacional,1364,5.150,56.410,2.905,78.051,61.986,-5.576,-5.000,1.000,7.746,88.028,31.831
55,d-tchamba-remo-109,D. Tchamba,Remo,1416,3.560,57.140,2.034,56.011,58.481,-1.341,-1.341,1.000,24.648,45.775,30.986
56,viery-fiorentina-138,Viery,Fiorentina,1323,3.130,56.520,1.769,46.011,57.024,-0.504,-0.504,0.920,30.559,31.690,30.898
57,cac-vit-ria-84,Cacá,Vitória,1548,3.370,56.900,1.918,57.964,57.864,-0.964,-0.964,1.000,26.056,37.324,29.437
58,jemmes-fluminense-103,Jemmes,Fluminense,1436,3.640,56.900,2.071,58.078,58.728,-1.828,-1.828,1.000,20.423,50.000,29.296
59,bastos-botafogo-337,Bastos,Botafogo,592,1.670,27.270,0.455,10.985,50.460,-23.190,-5.000,0.220,40.717,0.704,28.713
60,newton-s-o-paulo-370,Newton,São Paulo,472,2.290,25.000,0.573,12.010,53.553,-28.553,-5.000,0.240,39.851,2.113,28.529
61,eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,1832,3.240,56.060,1.816,65.952,57.417,-1.357,-1.357,1.000,23.239,34.507,26.620
62,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,3.590,56.340,2.023,70.922,58.574,-2.234,-2.234,1.000,19.014,41.549,25.775
63,f-torres-internacional-123,F. Torres,Internacional,1371,4.920,49.330,2.427,74.948,61.662,-12.332,-5.000,1.000,7.746,66.901,25.493
64,gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,774,3.600,45.160,1.626,30.960,58.605,-13.445,-5.000,0.619,23.837,26.056,24.503
65,l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,869,2.900,35.710,1.036,28.001,56.156,-20.446,-5.000,0.560,26.337,9.155,21.182
66,gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,1700,3.230,52.460,1.694,61.011,57.382,-4.922,-4.922,1.000,16.197,27.465,19.577
67,c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,1125,2.800,48.570,1.360,35.000,55.759,-7.189,-5.000,0.700,20.423,14.789,18.732
68,arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,1961,1.610,42.860,0.690,35.080,50.137,-7.277,-5.000,0.702,20.355,3.521,15.305
69,gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,1263,3.140,47.730,1.499,44.065,57.060,-9.330,-5.000,0.881,12.762,20.423,15.060
70,a-franco-tigres-uanl-168,A. Franco,Tigres UANL,1209,3.800,45.100,1.714,51.047,59.200,-14.100,-5.000,1.000,7.746,30.282,14.507
71,bruno-gomes-internacional-16,Bruno Gomes,Internacional,1999,2.700,48.330,1.305,59.970,55.350,-7.020,-5.000,1.000,7.746,13.380,9.437
