player_id,Jogador,Equipe,archetype_atual,z_area,z_con_slim,z_com,z_duelos_def,m4,archetype_lat_style,archetype_strong_first,archetype_proposta,n_strong_axes,strong_axes,changed_lat_style,changed_proposta
murilo-palmeiras-24,Murilo,Palmeiras,Construtor,0.343,0.457,-0.465,-0.469,0.511,Construtor,Construtor,Construtor,2,Defensor de Área+Construtor,False,False
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,Defensor de Área,0.871,-0.027,0.284,0.925,0.561,Defensor de Área,Defensor de Área,Defensor de Área,1,Defensor de Área,False,False
newton-s-o-paulo-370,Newton,São Paulo,Combativo,-1.691,-1.448,0.586,-0.187,1.040,Combativo,Combativo,Combativo,1,Combativo,False,False
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,Construtor,0.709,0.894,-0.253,-0.150,0.513,Construtor,Construtor,Construtor,2,Defensor de Área+Construtor,False,False
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,Defensor de Área,0.429,-0.506,-0.464,0.123,0.476,Defensor de Área,Defensor de Área,Defensor de Área,1,Defensor de Área,False,False
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,Combativo,0.182,0.016,0.061,0.296,0.615,Defensor de Área,Defensor de Área,Defensor de Área,0,—,True,True
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,Construtor,-0.737,1.382,0.846,0.296,0.881,Construtor,Construtor,Construtor,2,Construtor+Combativo,False,False
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,0.676,-0.216,-0.196,0.369,0.581,Defensor de Área,Defensor de Área,Defensor de Área,1,Defensor de Área,False,False
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,Construtor,0.055,0.614,-0.282,-1.107,0.599,Construtor,Construtor,Construtor,1,Construtor,False,False
sabino-s-o-paulo-97,Sabino,São Paulo,Construtor,0.689,0.650,0.021,0.460,0.543,Defensor de Área,Defensor de Área,Defensor de Área,2,Defensor de Área+Construtor,True,True
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,Defensor de Área,1.008,-1.050,-0.356,-0.041,0.517,Defensor de Área,Defensor de Área,Defensor de Área,1,Defensor de Área,False,False
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,Combativo,0.624,0.173,0.546,1.417,0.814,Defensor de Área,Defensor de Área,Defensor de Área,2,Defensor de Área+Combativo,True,True
victor-gabriel-internacional-124,Victor Gabriel,Internacional,Construtor,0.900,1.215,-0.096,0.679,0.493,Construtor,Construtor,Construtor,2,Defensor de Área+Construtor,False,False
viery-fiorentina-138,Viery,Fiorentina,Construtor,0.239,1.316,0.486,2.301,0.765,Construtor,Construtor,Combativo,2,Construtor+Combativo,False,True
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,Defensor de Área,0.132,-1.012,0.215,-0.396,0.599,Combativo,Combativo,Combativo,0,—,True,True
vit-o-flamengo-322,Vitão,Flamengo,Construtor,0.046,0.013,-1.206,-1.271,0.465,Defensor de Área,Defensor de Área,Defensor de Área,0,—,True,True
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,Combativo,-0.443,-0.579,0.379,0.661,0.748,Combativo,Combativo,Combativo,1,Combativo,False,False
willian-machado-mirassol-73,Willian Machado,Mirassol,Construtor,0.847,0.589,-0.144,-0.087,0.508,Defensor de Área,Defensor de Área,Defensor de Área,2,Defensor de Área+Construtor,True,True
z-ivaldo-remo-296,Zé Ivaldo,Remo,Combativo,-0.109,-0.081,0.574,0.469,0.737,Combativo,Combativo,Combativo,1,Combativo,False,False
