player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank
bastos-botafogo-337,Bastos,Botafogo,66.23,20.71,66.72,66.17,13.38,46.64,0.27,592,0.43,48.56,45
maicon-coritiba-181,Maicon,Coritiba,27.86,39.40,27.04,72.64,70.00,47.39,0.53,1146,0.66,48.27,46
camutanga-vit-ria-301,Camutanga,Vitória,48.67,50.70,24.49,32.49,73.10,45.89,0.32,696,0.48,48.04,47
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,40.93,16.17,57.49,89.35,22.11,45.21,0.40,869,0.55,47.36,48
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.54,59.44,23.06,37.46,36.20,42.94,0.23,489,0.38,47.32,49
murilo-palmeiras-24,Murilo,Palmeiras,20.11,58.45,74.65,52.51,29.15,46.97,0.88,1900,0.92,47.22,50
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.18,24.51,27.38,24.86,78.45,44.27,0.36,774,0.51,47.07,51
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.46,57.47,64.20,50.56,13.66,41.87,0.23,488,0.38,46.92,52
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.22,71.83,49.27,33.72,36.76,46.16,0.81,1754,0.87,46.65,53
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.28,36.68,49.76,46.90,37.89,41.10,0.33,711,0.48,45.69,54
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.21,54.93,36.52,58.58,46.62,44.17,0.68,1478,0.78,45.45,55
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.62,50.13,73.59,33.35,12.82,42.50,0.48,1048,0.62,45.32,56
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,57.38,64.79,35.40,45.25,20.14,44.59,0.86,1863,0.91,45.10,57
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,56.34,28.06,53.52,47.36,31.97,43.45,0.67,1456,0.77,44.94,58
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,40.16,27.33,58.36,54.39,13.94,38.84,0.36,785,0.52,44.23,59
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,20.14,30.79,44.36,35.31,43.52,34.83,0.25,551,0.41,43.77,60
newton-s-o-paulo-370,Newton,São Paulo,54.18,20.14,24.82,23.88,41.27,32.86,0.22,472,0.37,43.63,61
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,19.79,33.10,78.87,47.18,37.32,43.25,0.93,2019,0.96,43.56,62
marllon-remo-5,Marllon,Remo,66.90,24.65,43.10,21.41,58.73,42.96,0.99,2138,0.99,43.02,63
jemmes-fluminense-103,Jemmes,Fluminense,79.43,35.21,17.43,19.00,51.41,40.50,0.66,1436,0.77,42.73,64
vit-o-flamengo-322,Vitão,Flamengo,20.42,49.02,47.46,32.96,14.79,32.93,0.30,641,0.45,42.27,65
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,27.27,21.13,48.59,34.08,66.34,39.48,0.78,1700,0.85,41.02,66
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,23.00,49.30,26.95,23.48,60.70,36.69,0.61,1325,0.73,40.33,67
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,20.20,43.66,36.81,33.52,51.41,37.12,0.67,1451,0.77,40.08,68
cac-vit-ria-84,Cacá,Vitória,33.94,31.69,19.14,35.21,55.63,35.12,0.71,1548,0.80,38.05,69
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,51.34,19.08,23.49,30.38,30.00,30.86,0.52,1125,0.65,37.50,70
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,23.37,17.61,41.88,41.59,15.35,27.96,0.56,1209,0.68,34.92,71
